Date,Flight,Scheduled Time,E/A Time,Delay,Scheduled Ha Block,Ha Block,From,To,Gate Nr.,Local Total
2026-04-01,SN3704,2026-04-01 18:15:00,2026-04-01 19:50:00,95.0,2026-04-01 18:18:00,2026-04-01 19:53:00,2026-04-01 20:11:00,2026-04-01 20:14:00,A44 ,18.0
2026-04-01,SN3706,2026-04-02 00:25:00,2026-04-02 00:35:00,10.0,2026-04-02 00:29:00,2026-04-02 00:39:00,2026-04-02 00:57:00,2026-04-02 00:59:00,A56 ,8.0
2026-04-01,SN3712,2026-04-01 19:40:00,2026-04-01 20:15:00,35.0,2026-04-01 19:46:00,2026-04-01 20:21:00,2026-04-01 20:49:00,2026-04-01 20:52:00,A46 ,57.0
2026-04-01,SN3722,2026-04-01 15:55:00,2026-04-01 17:15:00,80.0,2026-04-01 15:58:00,2026-04-01 17:18:00,2026-04-01 17:40:00,2026-04-01 17:43:00,A48 ,40.0
2026-04-01,SN3728,2026-04-01 20:55:00,2026-04-01 21:26:00,31.0,2026-04-01 21:00:00,2026-04-01 21:31:00,2026-04-01 22:02:00,2026-04-01 22:04:00,A59 ,24.0
2026-04-01,SN3736,2026-04-01 19:25:00,2026-04-01 19:36:00,11.0,2026-04-01 19:31:00,2026-04-01 19:42:00,2026-04-01 20:10:00,2026-04-01 20:13:00,A56 ,68.0
2026-04-01,SN3738,2026-04-02 00:10:00,2026-04-02 00:18:00,8.0,2026-04-02 00:13:00,2026-04-02 00:21:00,2026-04-02 02:06:00,2026-04-02 02:11:00,A50 ,47.0
2026-04-01,SN3752,2026-04-02 00:10:00,2026-04-02 00:54:00,44.0,2026-04-02 01:17:00,2026-04-02 02:01:00,2026-04-02 02:21:00,2026-04-02 02:26:00,A62 ,48.0
2026-04-01,SN3772,2026-04-01 12:35:00,2026-04-01 12:42:00,7.0,2026-04-01 12:38:00,2026-04-01 12:45:00,2026-04-01 13:02:00,2026-04-01 13:04:00,A42 ,44.0
2026-04-01,SN3782,2026-04-01 17:40:00,2026-04-01 17:43:00,3.0,2026-04-01 17:46:00,2026-04-01 17:49:00,2026-04-01 18:23:00,2026-04-01 18:28:00,A60 ,107.0
2026-04-01,SN3788,2026-04-01 01:05:00,2026-04-01 01:08:00,3.0,2026-04-01 01:10:00,2026-04-01 01:13:00,2026-04-01 01:40:00,2026-04-01 01:56:00,A45 ,138.0
2026-04-01,SN3802,2026-04-01 17:00:00,2026-04-01 16:55:00,-5.0,2026-04-01 17:04:00,2026-04-01 16:59:00,2026-04-01 17:19:00,2026-04-01 17:21:00,A54 ,42.0
2026-04-01,SN3804,2026-04-01 19:30:00,2026-04-01 20:58:00,88.0,2026-04-01 19:33:00,2026-04-01 21:01:00,2026-04-01 21:25:00,2026-04-01 21:27:00,A50 ,8.0
2026-04-01,SN3810,2026-04-01 21:10:00,2026-04-01 21:16:00,6.0,2026-04-01 21:14:00,2026-04-01 21:20:00,2026-04-01 21:41:00,2026-04-01 21:43:00,A48 ,45.0
2026-04-01,SN3812,2026-04-01 17:15:00,2026-04-01 17:25:00,10.0,2026-04-01 17:18:00,2026-04-01 17:28:00,2026-04-01 17:57:00,2026-04-01 18:00:00,A56 ,103.0
2026-04-01,SN3816,2026-04-01 16:40:00,2026-04-01 17:13:00,33.0,2026-04-01 16:43:00,2026-04-01 17:16:00,2026-04-01 17:37:00,2026-04-01 17:41:00,A46 ,43.0
